name,salary_from,salary_to,salary_currency,area_name,published_at
"ПРЕСЕЙЛ-МЕНЕДЖЕР / ПРЕСЕЙЛ-ИНЖЕНЕР (серверы и СХД, сетевое оборудование, СКС, СКУД и пр.)",,,,Екатеринбург,2022-12-26T14:04:36+0300
Инженер службы технической поддержки,40000.0,,RUR,Тула,2022-12-26T16:46:26+0300
Инженер технической поддержки,,,,Санкт-Петербург,2022-12-26T17:55:51+0300
Специалист технической поддержки,,,,Курган,2022-12-26T13:12:49+0300
Программист 1С,150000.0,,RUR,Екатеринбург,2022-12-26T15:46:52+0300
Дежурный специалист технической поддержки,,,,Москва,2022-12-26T17:50:21+0300
Администратор NAUMEN,100000.0,,RUR,Москва,2022-12-26T22:10:49+0300
"Выездной системный администратор (Серов, Краснотурьинск)",,,,Краснотурьинск,2022-12-26T18:10:52+0300
Ведущий системный администратор отдела поддержки Windows сервисов,,,,Новосибирск,2022-12-26T12:56:32+0300
Инженер сопровождения для кадров (офис),,250000.0,RUR,Москва,2022-12-26T13:35:03+0300
Программист 1С,100000.0,150000.0,RUR,Тюмень,2022-12-26T13:54:22+0300
DevOps-инженер,,250000.0,RUR,Москва,2022-12-26T17:43:56+0300
Devops Engineer,,,,Казань,2022-12-26T18:07:49+0300
DevOps инженер (AWS),5000.0,,USD,Батуми,2022-12-26T15:14:55+0300
Сервисный инженер IT на автомобиле компании,84000.0,,RUR,Лыткарино,2022-12-26T15:47:37+0300
System Analyst,,,,Витебск,2022-12-26T12:55:19+0300
"Выездной инженер технической поддержки (АРМ, POS-терминалы, сервис печати)",45000.0,,RUR,Калуга,2022-12-26T15:32:11+0300
Специалист 1 линии поддержки клиентов,33500.0,46000.0,RUR,Санкт-Петербург,2022-12-26T16:32:01+0300
"Выездной системный администратор (Серов, Краснотурьинск)",,,,Серов,2022-12-26T18:10:53+0300
Специалист по информационным технологиям (Мега Дыбенко),49039.0,60715.0,RUR,Санкт-Петербург,2022-12-26T14:25:42+0300
1С Специалист-программист,,,,Санкт-Петербург,2022-12-26T14:32:17+0300
Программист 1С,,,,Курск,2022-12-26T13:21:29+0300
Системный аналитик,,,,Москва,2022-12-26T15:19:00+0300
Главный специалист по кибербезопасности,,,,Санкт-Петербург,2022-12-26T16:35:22+0300
Специалист/Разработчик 1С,130000.0,,RUR,Москва,2022-12-26T14:19:53+0300
Sen DevOps engineer,,,,Москва,2022-12-26T14:51:13+0300
Ruby on Rails Developer (Remote),,5000.0,USD,Тбилиси,2022-12-26T14:04:44+0300
Программист 1С,,,,Белгород,2022-12-26T13:21:29+0300
Специалист по сопровождению SAP,,,,Волгоград,2022-12-26T13:27:23+0300
DevOps (AWS),4000.0,,USD,Другое,2022-12-26T15:32:11+0300
Web-разработчик,,100000.0,RUR,Новосибирск,2022-12-26T15:27:48+0300
Главный специалист по информационной безопасности,,,,Москва,2022-12-26T14:34:04+0300
Программист 1С в проектную команду,90000.0,150000.0,RUR,Москва,2022-12-26T18:09:54+0300
Администратор LMS,,,,Ташкент,2022-12-26T17:41:39+0300
Программист 1С,,,,Саранск,2022-12-26T13:21:29+0300
Консультант программист 1С,80000.0,85000.0,RUR,Санкт-Петербург,2022-12-26T13:22:30+0300
Financial Instruments Support Specialist,,,,Алматы,2022-12-26T12:48:06+0300
Программист 1С,,,,Сасово,2022-12-26T13:21:29+0300
Руководитель проектного офиса SADO,,,,Екатеринбург,2022-12-26T17:19:27+0300
Разработчик 1С,,,,Санкт-Петербург,2022-12-26T17:03:53+0300
Программист 1C,,,,Калининград,2022-12-26T16:47:14+0300
Database Administrator (remote),,,,Алматы,2022-12-26T13:53:01+0300
Специалист 1С,130000.0,,RUR,Москва,2022-12-26T17:17:05+0300
Инженер по сопровождению АС,,,,Санкт-Петербург,2022-12-26T14:40:17+0300
Разработчик 1С middle (Саранск),50000.0,100000.0,RUR,Саранск,2022-12-26T19:08:25+0300
Программист - аналитик (1С),,,,Астана,2022-12-26T14:42:41+0300
Функциональный архитектор 1С по ЗУП,220000.0,,RUR,Санкт-Петербург,2022-12-26T14:27:39+0300
DevOps Engineer,,,,Рязань,2022-12-26T17:02:02+0300
Product Owner,,,,Екатеринбург,2022-12-26T18:22:31+0300
Разработчик электронных курсов,,,,Ташкент,2022-12-26T17:51:13+0300
Программист - аналитик (1С),,,,Караганда,2022-12-26T14:42:42+0300
Архитектор направления по Битрикс24 (в отдел консалтинга),,,,Санкт-Петербург,2022-12-26T16:09:18+0300
Программист - аналитик (1С),,,,Алматы,2022-12-26T14:42:42+0300
Консультант-аналитик Hyperion Planning,,,,Москва,2022-12-26T15:46:20+0300
Инженер отдела систем общестанционной связи,73000.0,,RUR,Сосновый Бор (Ленинградская область),2022-12-26T15:24:41+0300
Методолог (Разработка электронных курсов),,,,Ташкент,2022-12-26T17:55:41+0300
Системный аналитик (Депозитарий),,,,Санкт-Петербург,2022-12-26T14:35:20+0300
Программист 1С Middle,100000.0,150000.0,RUR,Сочи,2022-12-26T15:13:47+0300
Аналитик 1C:ERP,100000.0,150000.0,RUR,Москва,2022-12-26T15:56:06+0300
Программист 1С - Middle,130000.0,170000.0,RUR,Екатеринбург,2022-12-26T14:58:30+0300
Релиз-менеджер (КД),,,,Москва,2022-12-26T15:07:45+0300
Odoo Developer,,,,Астана,2022-12-26T13:29:54+0300
Программист Delphi,,,,Череповец,2022-12-26T17:04:01+0300
Разработчик роботизации бизнес-процессов (Python),,,,Томск,2022-12-26T13:44:47+0300
Программист 1С,,,,Иваново (Ивановская область),2022-12-26T14:26:46+0300
Senior DevOps engineer [Кибербезопасность],,,,Москва,2022-12-26T15:38:09+0300
Эксперт по поддержке MSA,,,,Москва,2022-12-26T14:00:00+0300
Инженер-программист 1 категории (базы данных),80000.0,120000.0,RUR,Тверь,2022-12-26T13:46:42+0300
Odoo Developer,,,,Минск,2022-12-26T13:30:56+0300
